title,genres,year,votes,rating
Star Trek IV: The Voyage Home,Space Sci-Fi,1986,94000,7.3
Star Trek IV: The Voyage Home,Time Travel,1986,94000,7.3
Star Trek IV: The Voyage Home,Adventure,1986,94000,7.3
Star Trek IV: The Voyage Home,Comedy,1986,94000,7.3
Star Trek IV: The Voyage Home,Sci-Fi,1986,94000,7.3
"Honey, I Shrunk the Kids",Farce,1989,171000,6.4
"Honey, I Shrunk the Kids",High-Concept Comedy,1989,171000,6.4
"Honey, I Shrunk the Kids",Teen Adventure,1989,171000,6.4
"Honey, I Shrunk the Kids",Adventure,1989,171000,6.4
"Honey, I Shrunk the Kids",Comedy,1989,171000,6.4
"Honey, I Shrunk the Kids",Family,1989,171000,6.4
"Honey, I Shrunk the Kids",Sci-Fi,1989,171000,6.4
The Descent,Monster Horror,2006,259000,7.2
The Descent,Mountain Adventure,2006,259000,7.2
The Descent,Psychological Thriller,2006,259000,7.2
The Descent,Adventure,2006,259000,7.2
The Descent,Horror,2006,259000,7.2
The Descent,Thriller,2006,259000,7.2
Tag,Action,2018,155000,6.5
Tag,Comedy,2018,155000,6.5
You Will Meet a Tall Dark Stranger,Satire,2010,48000,6.3
You Will Meet a Tall Dark Stranger,Comedy,2010,48000,6.3
You Will Meet a Tall Dark Stranger,Drama,2010,48000,6.3
You Will Meet a Tall Dark Stranger,Romance,2010,48000,6.3
The Secret Agent,Period Drama,1996,2700,5.6
The Secret Agent,Drama,1996,2700,5.6
The Secret Agent,Thriller,1996,2700,5.6
Sleepless,Action,2017,36000,5.6
Sleepless,Thriller,2017,36000,5.6
Barb Wire,Superhero,1996,32000,3.6
Barb Wire,Action,1996,32000,3.6
Barb Wire,Sci-Fi,1996,32000,3.6
Mine 9,Drama,2020,12000,6.0
Mine 9,Thriller,2020,12000,6.0
Witless Protection,Comedy,2008,6600,3.4
Witless Protection,Crime,2008,6600,3.4
Grandma,Comedy,2015,17000,6.7
Grandma,Drama,2015,17000,6.7
December Boys,Drama,2007,13000,6.5
December Boys,Romance,2007,13000,6.5
Elles,Drama,2012,7800,5.6
The Three Musketeers,Swashbuckler,2011,114000,5.7
The Three Musketeers,Action,2011,114000,5.7
